Supplier,Ingredient,Origin_Country,Local_vs_Imported,Latitude,Longitude
Supplier_74,Chicken,South Korea,Imported,22.1159,22.6777
Supplier_75,Tomatoes,China,Imported,13.7634,2.1185
Supplier_76,Garlic,Italy,Imported,48.0864,136.5373
Supplier_77,Corn,Indonesia,Imported,-24.2253,120.1482
Supplier_78,Berry Mix,Indonesia,Imported,21.1678,175.4039
Supplier_79,Cucumber,Greece,Imported,-39.2177,114.1575
Supplier_80,Pasta,India,Imported,53.893,-131.6552
Supplier_81,Carrots,India,Imported,34.2417,-124.0388
Supplier_82,Eggs,Chile,Imported,-18.937,-56.5631
Supplier_83,Pineapple,Brazil,Imported,10.5409,-89.5963
Supplier_84,Rice,China,Imported,23.4284,118.5653
Supplier_85,Prawns,Australia,Local,-31.9926,118.3636
Supplier_86,Honey,Vietnam,Imported,34.1231,18.605
Supplier_87,Soft Drink,Turkey,Imported,-39.033,-152.9122
Supplier_88,Mango,Thailand,Imported,14.559,120.4542
Supplier_89,Palm Oil,Turkey,Imported,-25.1906,-134.1196
Supplier_90,Sauce,Italy,Imported,49.8981,106.604
Supplier_91,Prawns,Italy,Imported,-18.9923,-90.1693
Supplier_92,Potatoes,Italy,Imported,38.0116,138.2885
Supplier_93,Oats,Chile,Imported,34.9478,153.275
Supplier_94,Fruits,Vietnam,Imported,57.6206,111.8778
Supplier_95,Oats,Australia,Local,-37.0811,150.904
Supplier_96,Oats,USA,Imported,-13.3194,103.4548
Supplier_97,Potatoes,France,Imported,47.2167,129.0936
Supplier_98,Coffee,Japan,Imported,41.6587,-14.2908
Supplier_99,Sauce,USA,Imported,-17.7076,57.6119
Supplier_100,Seaweed,Spain,Imported,-12.1397,-155.0085
