Suburb,Cuisine,Estimated_Count
Shepparton,Café / Brunch,12
Shepparton,European,6
Hawthorn,Modern Australian,12
Hawthorn,Chinese,18
Hawthorn,Japanese,9
Hawthorn,Korean,6
Hawthorn,Italian,14
Hawthorn,Vietnamese,9
Hawthorn,Thai,8
Hawthorn,Indian,8
Hawthorn,Middle Eastern,6
Hawthorn,Fast Food,9
Hawthorn,Café / Brunch,12
Hawthorn,European,6
Preston,Modern Australian,12
Preston,Chinese,18
Preston,Japanese,9
Preston,Korean,6
Preston,Italian,14
Preston,Vietnamese,9
Preston,Thai,8
Preston,Indian,8
Preston,Middle Eastern,6
Preston,Fast Food,9
Preston,Café / Brunch,12
Preston,European,6
Point Cook,Modern Australian,12
Point Cook,Chinese,18
Point Cook,Japanese,9
Point Cook,Korean,6
Point Cook,Italian,14
Point Cook,Vietnamese,9
Point Cook,Thai,8
Point Cook,Indian,8
Point Cook,Middle Eastern,6
Point Cook,Fast Food,9
Point Cook,Café / Brunch,12
Point Cook,European,6
