Suburb,Cuisine,Estimated_Count,lat,lon,Latitude,Longitude
Fitzroy,Thai,21,-37.7984,144.9787,-37.85698205923942,145.04536607837431
Fitzroy,Indian,21,-37.7984,144.9787,-38.031790350525085,144.96729721451624
Fitzroy,Middle Eastern,15,-37.7984,144.9787,-38.073979362805886,145.1730913933416
Fitzroy,Fast Food,24,-37.7984,144.9787,-37.72044578509867,145.14642555580016
Fitzroy,Café / Brunch,60,-37.7984,144.9787,-37.71374718677018,144.81808746804248
Fitzroy,European,15,-37.7984,144.9787,-37.77664106075341,144.8105467897989
Collingwood,Modern Australian,30,-37.8045,144.9931,-37.97815449233065,144.9505853467512
Collingwood,Chinese,45,-37.8045,144.9931,-38.060931154397444,145.12422133231274
Collingwood,Japanese,24,-37.8045,144.9931,-37.82630678939513,145.19491045172597
Collingwood,Korean,15,-37.8045,144.9931,-37.923939002504156,144.8601667564414
Collingwood,Italian,36,-37.8045,144.9931,-38.05118470606209,145.03765228614085
Collingwood,Vietnamese,24,-37.8045,144.9931,-37.90192923595549,144.95235634265242
Collingwood,Thai,21,-37.8045,144.9931,-38.086244591553914,145.18796575912583
Collingwood,Indian,21,-37.8045,144.9931,-37.73627183916849,145.1368475692543
Collingwood,Middle Eastern,15,-37.8045,144.9931,-37.99648800735999,145.13533148188446
Collingwood,Fast Food,24,-37.8045,144.9931,-37.834991086258405,144.98747726391798
Collingwood,Café / Brunch,30,-37.8045,144.9931,-37.97531556956424,144.96592780093508
Collingwood,European,15,-37.8045,144.9931,-37.89197279152887,144.9093628287723
Southbank,Modern Australian,30,-37.8256,144.9643,-37.881315888262684,144.82255019866037
Southbank,Chinese,45,-37.8256,144.9643,-38.02605821778979,145.145888950502
Southbank,Japanese,24,-37.8256,144.9643,-37.71216614889418,145.12516040365202
Southbank,Korean,15,-37.8256,144.9643,-37.789946870655555,145.19988706931446
Southbank,Italian,36,-37.8256,144.9643,-37.72420042337432,145.19865473482957
Southbank,Vietnamese,24,-37.8256,144.9643,-37.74206905982894,145.02217268224106
Southbank,Thai,21,-37.8256,144.9643,-37.86084000847556,145.1075949660722
Southbank,Indian,21,-37.8256,144.9643,-37.73125030599075,145.17790629195298
Southbank,Middle Eastern,15,-37.8256,144.9643,-38.06460299917923,145.13985895627096
Southbank,Fast Food,24,-37.8256,144.9643,-38.02160685503234,144.89893924069727
Southbank,Café / Brunch,30,-37.8256,144.9643,-38.081909084435786,144.98021765412403
Southbank,European,15,-37.8256,144.9643,-37.969867867694695,144.8516637660606
Richmond,Modern Australian,30,-37.8185,145.0014,-37.944529084124206,145.1816204109035
Richmond,Chinese,45,-37.8185,145.0014,-37.99146038729044,145.04246985378035
Richmond,Japanese,24,-37.8185,145.0014,-37.768504996339225,144.8914571222014
Richmond,Korean,15,-37.8185,145.0014,-37.95729866932256,145.06868027376234
Richmond,Italian,36,-37.8185,145.0014,-37.98762619612505,145.04725129618316
Richmond,Vietnamese,24,-37.8185,145.0014,-37.8829215667367,144.94326508721315
Richmond,Thai,21,-37.8185,145.0014,-38.043630310010094,144.84542303687985
Richmond,Indian,21,-37.8185,145.0014,-37.77912120769838,145.06862927823713
Richmond,Middle Eastern,15,-37.8185,145.0014,-38.07017974252809,145.00812308036151
Richmond,Fast Food,24,-37.8185,145.0014,-37.70524522535979,145.10892735669427
Richmond,Café / Brunch,30,-37.8185,145.0014,-37.791102092281335,145.0080654004448
Richmond,European,15,-37.8185,145.0014,-38.02051372738633,145.1408726001274
Brunswick,Modern Australian,30,-37.7676,144.9614,-38.09779115315056,145.0207627355098
Brunswick,Chinese,45,-37.7676,144.9614,-37.773815428618065,145.02437518861416
Brunswick,Japanese,24,-37.7676,144.9614,-37.81725706246095,145.15066144106333
Brunswick,Korean,15,-37.7676,144.9614,-37.808397132783604,144.96139314648497
Brunswick,Italian,36,-37.7676,144.9614,-37.79149186132562,144.85360609138024
Brunswick,Vietnamese,24,-37.7676,144.9614,-38.07038213930636,144.81151307052534
Brunswick,Thai,21,-37.7676,144.9614,-37.95661370858229,145.10205490226946
Brunswick,Indian,21,-37.7676,144.9614,-38.053652376189945,145.04812382054138
Brunswick,Middle Eastern,15,-37.7676,144.9614,-37.754758629649764,145.08163190723968
Brunswick,Fast Food,24,-37.7676,144.9614,-37.850680749268975,144.88518566460357
Brunswick,Café / Brunch,30,-37.7676,144.9614,-37.96764079005894,144.8545485902347
Brunswick,European,15,-37.7676,144.9614,-38.07457665988559,144.80581786626715
Northcote,Modern Australian,30,,,-37.97560707131373,144.94023502352263
Northcote,Chinese,45,,,-37.9699266711893,145.03596707474185
Northcote,Japanese,24,,,-37.80815752866477,144.9568976180399
Northcote,Korean,15,,,-37.844977011457914,144.9749899688095
Northcote,Italian,36,,,-37.74511490296947,145.1616634777975
Northcote,Vietnamese,24,,,-37.91111402993522,144.93930218680933
Northcote,Thai,21,,,-38.052162301624676,145.00559579566394
Northcote,Indian,21,,,-37.8147020851108,145.11346120509646
Northcote,Middle Eastern,15,,,-37.79568598055324,144.95861711292852
Northcote,Fast Food,24,,,-37.8754891209722,145.04883468009115
Northcote,Café / Brunch,30,,,-37.79161312801818,145.1449454834987
Northcote,European,15,,,-37.90248176145424,145.17980824946306
Prahran,Modern Australian,30,-37.8495,144.9939,-37.8909068682472,144.8588293923716
Prahran,Chinese,45,-37.8495,144.9939,-37.92898359265658,145.1706350500646
Prahran,Japanese,24,-37.8495,144.9939,-38.08983234930236,144.9968465172318
Prahran,Korean,15,-37.8495,144.9939,-38.05684342920268,144.90329775531958
Prahran,Italian,36,-37.8495,144.9939,-38.087428325725305,144.9836543024953
Prahran,Vietnamese,24,-37.8495,144.9939,-37.845435835494484,145.1920130301142
Prahran,Thai,21,-37.8495,144.9939,-37.97425760756947,144.99704723759714
Prahran,Indian,21,-37.8495,144.9939,-37.896571723534116,144.931500644115
Prahran,Middle Eastern,15,-37.8495,144.9939,-37.73697341042956,145.0533603417267
Prahran,Fast Food,24,-37.8495,144.9939,-38.00028310834045,144.89605824751126
Prahran,Café / Brunch,30,-37.8495,144.9939,-37.93584683078575,144.83034533124348
Prahran,European,15,-37.8495,144.9939,-37.79777954458278,144.85155188876425
St Kilda,Modern Australian,30,-37.8676,144.9784,-38.00848073380335,144.8512183355831
St Kilda,Chinese,45,-37.8676,144.9784,-38.06920803606848,144.86076107740493
St Kilda,Japanese,24,-37.8676,144.9784,-37.98409941883449,144.85553086905978
St Kilda,Korean,15,-37.8676,144.9784,-38.0355114850984,145.05634989792128
St Kilda,Italian,36,-37.8676,144.9784,-37.72812093906297,144.87275203375967
St Kilda,Vietnamese,24,-37.8676,144.9784,-37.77675184817423,144.93826691332956
St Kilda,Thai,21,-37.8676,144.9784,-37.84663849739583,145.15871536396241
St Kilda,Indian,21,-37.8676,144.9784,-37.75141576392491,144.98958465610514
St Kilda,Middle Eastern,15,-37.8676,144.9784,-37.77853116924035,145.06702309540842
St Kilda,Fast Food,24,-37.8676,144.9784,-38.025371976445584,144.86892794848066
St Kilda,Café / Brunch,45,-37.8676,144.9784,-37.74297640060401,144.87691560752347
St Kilda,European,15,-37.8676,144.9784,-37.884263103233735,144.8163474465066
South Yarra,Modern Australian,30,-37.8394,144.9936,-37.77702393793437,144.86757402522886
South Yarra,Chinese,45,-37.8394,144.9936,-37.7415634800306,144.91143613561277
South Yarra,Japanese,24,-37.8394,144.9936,-37.97279861001125,144.8708041937107
South Yarra,Korean,15,-37.8394,144.9936,-38.055979230188925,144.83548101350283
South Yarra,Italian,36,-37.8394,144.9936,-38.00882593498322,144.84825434844024
South Yarra,Vietnamese,24,-37.8394,144.9936,-37.9291568845495,144.98431150721308
South Yarra,Thai,21,-37.8394,144.9936,-37.772794093631,144.8825334873623
South Yarra,Indian,21,-37.8394,144.9936,-37.75570776669746,144.94570794441924
South Yarra,Middle Eastern,15,-37.8394,144.9936,-38.09721914778752,145.00136690834194
South Yarra,Fast Food,24,-37.8394,144.9936,-37.89570107896897,145.07615793145175
South Yarra,Café / Brunch,30,-37.8394,144.9936,-37.93303559874049,144.81572485593645
South Yarra,European,15,-37.8394,144.9936,-38.01115687581171,145.11976415956363
Footscray,Modern Australian,30,-37.8006,144.899,-38.052053853066525,145.05116015579637
Footscray,Chinese,45,-37.8006,144.899,-37.96495393143855,144.83270361277954
Footscray,Japanese,24,-37.8006,144.899,-37.72283611843499,145.14943144964272
Footscray,Korean,15,-37.8006,144.899,-37.970718827191696,145.1683489602127
Footscray,Italian,36,-37.8006,144.899,-37.89248375130265,144.82443118394195
Footscray,Vietnamese,90,-37.8006,144.899,-37.81879241644193,144.91075105925887
Footscray,Thai,21,-37.8006,144.899,-37.95454815904828,145.12248051191722
Footscray,Indian,30,-37.8006,144.899,-37.71128716691162,145.09930387615347
Footscray,Middle Eastern,15,-37.8006,144.899,-37.715021082023156,144.87380840774256
Footscray,Fast Food,24,-37.8006,144.899,-37.999287081669856,144.88373972933468
Footscray,Café / Brunch,30,-37.8006,144.899,-37.901100597643044,144.94818884111655
Footscray,European,15,-37.8006,144.899,-37.97964867607329,144.99380919407642
Glenferrie,Modern Australian,20,,,-37.986063802249014,145.04730190861213
Glenferrie,Chinese,30,,,-38.08524522105819,144.9475654558279
Glenferrie,Japanese,16,,,-37.85617426640804,144.98501388645326
Glenferrie,Korean,10,,,-37.898928390708456,145.0989883752535
Glenferrie,Italian,24,,,-38.079408499500005,144.81467328115625
Glenferrie,Vietnamese,16,,,-37.98854141430535,144.90097477773762
Glenferrie,Thai,14,,,-37.736693645613336,145.08533983435382
Glenferrie,Indian,14,,,-38.00417524373321,145.15808273507488
Glenferrie,Middle Eastern,10,,,-38.042042051163506,145.00467097684626
Glenferrie,Fast Food,16,,,-37.904218895888974,145.01284539410614
Glenferrie,Café / Brunch,20,,,-37.70573981835576,144.8428688045359
Glenferrie,European,10,,,-38.003177891395396,144.97896494672938
Box Hill,Modern Australian,20,,,-37.83114578103765,145.01304690658202
Box Hill,Chinese,80,,,-37.795352153868514,144.8969882014539
Box Hill,Japanese,20,,,-38.00494498240304,144.90769729237977
Box Hill,Korean,20,,,-37.80871346055525,144.95091366524184
Box Hill,Italian,24,,,-37.9528867469123,144.8080284791111
Box Hill,Vietnamese,16,,,-37.84707766776257,144.92883166623326
Box Hill,Thai,14,,,-37.84658811569564,144.88457920279862
Box Hill,Indian,14,,,-37.88569012637009,144.93099894087118
Box Hill,Middle Eastern,10,,,-38.06388409197824,144.8479048527277
Box Hill,Fast Food,16,,,-37.765879001764304,145.15621091229596
Box Hill,Café / Brunch,20,,,-37.9716879740113,145.03743698142162
Box Hill,European,10,,,-38.02539259584006,145.0716409276578
Springvale,Modern Australian,20,,,-38.08368994337809,145.11566849544295
Springvale,Chinese,40,,,-37.8636428227247,144.99937687957163
Springvale,Japanese,16,,,-37.828974255263084,144.83476811523497
Springvale,Korean,10,,,-38.09336486842886,145.0148426167274
Springvale,Italian,24,,,-37.89516277668029,145.03473644720836
Springvale,Vietnamese,60,,,-38.00940168992082,145.09817578967372
Springvale,Thai,14,,,-37.84193088383622,144.97266381849187
Springvale,Indian,14,,,-38.030253428398005,144.85103212111824
Springvale,Middle Eastern,10,,,-37.823624904759015,144.9135103623195
Springvale,Fast Food,16,,,-37.94530586147978,144.94523291855944
Springvale,Café / Brunch,20,,,-37.72530800450531,145.05836689653265
Springvale,European,10,,,-38.0449916223416,145.02831132186756
Glen Waverley,Modern Australian,20,,,-37.9635734595799,144.94243869035913
Glen Waverley,Chinese,30,,,-38.05461059150376,145.1946060995172
Glen Waverley,Japanese,16,,,-37.73012255268857,145.04230992774276
Glen Waverley,Korean,10,,,-37.74906425864761,144.8948907166944
Glen Waverley,Italian,24,,,-37.996823348913935,144.84071298904817
Glen Waverley,Vietnamese,16,,,-37.83600638158633,144.86114365567374
Glen Waverley,Thai,14,,,-37.77311111991951,144.8983830913538
Glen Waverley,Indian,14,,,-37.87791967536021,144.86427254930382
Glen Waverley,Middle Eastern,10,,,-37.888139768657595,144.8746268096205
Glen Waverley,Fast Food,16,,,-38.00325908363982,144.91403806747755
Glen Waverley,Café / Brunch,20,,,-38.06275889287764,144.8693494381179
Glen Waverley,European,10,,,-37.741113696818665,145.15870616985057
Doncaster,Modern Australian,20,,,-37.739832777134666,144.83209349826467
Doncaster,Chinese,30,,,-37.846759417090695,145.0098045558281
Doncaster,Japanese,16,,,-37.964388083580516,144.96415873079587
Doncaster,Korean,10,,,-37.96031617015493,145.19295144676343
Doncaster,Italian,24,,,-37.809617728451904,144.84481556086723
Doncaster,Vietnamese,16,,,-37.74115589601897,144.9591422396183
Doncaster,Thai,14,,,-37.74516543029395,145.18778817331014
Doncaster,Indian,14,,,-37.78804978165695,145.14620285035758
Doncaster,Middle Eastern,10,,,-37.84318734153828,145.1268288283797
Doncaster,Fast Food,16,,,-38.06634401400198,144.90316113081798
Doncaster,Café / Brunch,20,,,-38.035348514362155,144.86835503495604
Doncaster,European,10,,,-37.740578324589166,145.06745728796977
Chadstone,Modern Australian,20,,,-37.85742837613616,145.17175039565103
Chadstone,Chinese,30,,,-38.096321179353346,145.02270515720556
Chadstone,Japanese,16,,,-38.05941138285358,145.02864507578795
Chadstone,Korean,10,,,-37.83459929235678,144.91199163746413
Chadstone,Italian,24,,,-38.09797536646151,145.10779717327677
Chadstone,Vietnamese,16,,,-38.035676779433,144.87481749942302
Chadstone,Thai,14,,,-37.88050648425337,144.9294716945617
Chadstone,Indian,14,,,-37.82324192092292,144.97017457544658
Chadstone,Middle Eastern,10,,,-37.83921549619896,145.00304415147377
Chadstone,Fast Food,16,,,-38.01029227621577,144.89696389296603
Chadstone,Café / Brunch,20,,,-37.81512831146098,144.84593472989567
Chadstone,European,10,,,-38.005100365001276,145.04424801697667
Dandenong,Modern Australian,20,,,-37.96984012073629,144.9154522212961
Dandenong,Chinese,30,,,-37.801403437952786,145.03249528856904
Dandenong,Japanese,16,,,-37.84014684038111,144.8617450861097
Dandenong,Korean,10,,,-37.76031063580233,144.99245604074193
Dandenong,Italian,24,,,-37.83695484307986,145.01303577302065
Dandenong,Vietnamese,16,,,-37.87267655866581,144.82072941472896
Dandenong,Thai,14,,,-38.06253009286876,144.93464171127758
Dandenong,Indian,14,,,-37.95291367877623,144.8537658707756
Dandenong,Middle Eastern,10,,,-37.99391905292731,144.82534998818912
Dandenong,Fast Food,16,,,-38.002404142648366,145.19598409295597
Dandenong,Café / Brunch,20,,,-37.71079577809902,144.92894153798989
Dandenong,European,10,,,-37.942760910133295,145.12394977834185
Oakleigh,Modern Australian,20,,,-37.743181377929155,144.9018562619055
Oakleigh,Chinese,30,,,-37.847544549601096,145.07260108888957
Oakleigh,Japanese,16,,,-37.78207547858334,145.10409114395588
Oakleigh,Korean,10,,,-37.89894516275792,145.03825549624312
Oakleigh,Italian,24,,,-37.86923844614945,144.98863047542005
Oakleigh,Vietnamese,16,,,-37.90299292247245,144.9647363656589
Oakleigh,Thai,14,,,-38.02190280488078,144.9395473066172
Oakleigh,Indian,14,,,-37.811019153895394,145.17181165769912
Oakleigh,Middle Eastern,10,,,-37.98769105502365,145.1322477631151
Oakleigh,Fast Food,16,,,-38.090273613427414,145.1860107642666
Oakleigh,Café / Brunch,20,,,-37.84181108163713,144.8497188893942
Oakleigh,European,10,,,-38.02915572823718,145.09234699008147
Clayton,Modern Australian,20,,,-37.72381656625883,145.17533618272842
Clayton,Chinese,30,,,-37.71842856919896,144.87249322646628
Clayton,Japanese,16,,,-37.73405424391182,144.8265985069467
Clayton,Korean,10,,,-37.95193651989782,145.09644825971603
Clayton,Italian,24,,,-38.09381735338845,145.02978924527196
Clayton,Vietnamese,16,,,-37.72867257496491,145.1367315107033
Clayton,Thai,14,,,-37.92872634067307,144.8559089506505
Clayton,Indian,14,,,-37.713338072382534,145.11810692474396
Clayton,Middle Eastern,10,,,-37.7145520091643,144.8806509280191
Clayton,Fast Food,16,,,-37.75879621781306,144.8654623771463
Clayton,Café / Brunch,20,,,-37.98222044317217,144.8657063191724
Clayton,European,10,,,-37.94596090855923,145.12582988809254
Sunshine,Modern Australian,20,,,-37.759545331393255,145.06607888827847
Sunshine,Chinese,30,,,-37.97323119793749,145.00922616990763
Sunshine,Japanese,16,,,-38.03220290132556,144.9435321936494
Sunshine,Korean,10,,,-37.87727949501666,145.15088021632525
Sunshine,Italian,24,,,-37.72553809033569,144.95697804296904
Sunshine,Vietnamese,16,,,-37.821588081330006,145.12663977578862
Sunshine,Thai,14,,,-37.87197553196425,144.9756539634281
Sunshine,Indian,14,,,-38.061129402491694,144.95077777176996
Sunshine,Middle Eastern,10,,,-37.85399710932033,144.98507191426785
Sunshine,Fast Food,16,,,-37.70397845995829,144.92055114966567
Sunshine,Café / Brunch,20,,,-38.043966393905386,145.09904375207051
Sunshine,European,10,,,-37.89266813905451,145.00108815603699
Werribee,Modern Australian,20,,,-37.749050771228816,144.89288507805873
Werribee,Chinese,30,,,-37.80369255289832,145.1598298293098
Werribee,Japanese,16,,,-37.82119370360189,144.95355648854928
Werribee,Korean,10,,,-37.819006366405155,145.0174211444456
Werribee,Italian,24,,,-37.956203539512096,145.16258884438582
Werribee,Vietnamese,16,,,-37.9825632622942,145.04969519836558
Werribee,Thai,14,,,-37.776255537808595,144.84675921628335
Werribee,Indian,14,,,-37.775954642128326,145.1759328494454
Werribee,Middle Eastern,10,,,-37.75317107256796,145.05108322122857
Werribee,Fast Food,16,,,-37.73470377897741,144.93396224586283
Werribee,Café / Brunch,20,,,-37.895463040455624,144.85570882906535
Werribee,European,10,,,-37.89939348212512,145.11761007570811
Elwood,Modern Australian,20,,,-37.78068192841329,145.0480291023714
Elwood,Chinese,30,,,-37.84001442768889,145.01338443679052
Elwood,Japanese,16,,,-37.81921324909692,145.15755703322037
Elwood,Korean,10,,,-37.78168293222556,145.1154388844898
Elwood,Italian,24,,,-37.74399786327297,144.8606699518931
Elwood,Vietnamese,16,,,-37.96480193725938,144.92468882711822
Elwood,Thai,14,,,-37.94976681894402,144.8993956559258
Elwood,Indian,14,,,-38.06240722406365,145.09757851702906
Elwood,Middle Eastern,10,,,-37.86868794360153,144.81341297389432
Elwood,Fast Food,16,,,-38.0856230904813,145.0279558739485
Elwood,Café / Brunch,20,,,-37.91376079274701,145.1049834742963
Elwood,European,10,,,-37.88294214611697,145.1507062547047
Williamstown,Modern Australian,15,,,-37.98538349914868,144.93683269948636
Williamstown,Chinese,22,,,-37.863666695772395,145.1285029218688
Williamstown,Japanese,12,,,-38.08779990002438,144.84425269478209
Williamstown,Korean,7,,,-38.085060724500316,145.1385809166938
Williamstown,Italian,18,,,-37.77095977573614,144.8509954649328
Williamstown,Vietnamese,12,,,-37.95592374343549,144.95891491622416
Williamstown,Thai,10,,,-38.049175794939245,145.1189181463118
Williamstown,Indian,10,,,-37.89110269597808,144.8599669709395
Williamstown,Middle Eastern,7,,,-37.79200257876055,144.89170055809305
Williamstown,Fast Food,12,,,-38.01367158900126,145.08890102735722
Williamstown,Café / Brunch,15,,,-37.8508438096724,145.08801461461843
Williamstown,European,7,,,-38.06586101400249,145.05645905315413
Camberwell,Modern Australian,15,,,-38.07932731153256,145.07757937778683
Camberwell,Chinese,22,,,-37.88745814737274,145.01708977733904
Camberwell,Japanese,12,,,-37.883745951355955,144.9007196235628
Camberwell,Korean,7,,,-37.84502803940072,144.93827839740158
Camberwell,Italian,18,,,-37.80956346651094,144.87263908672057
Camberwell,Vietnamese,12,,,-37.70965916821498,145.16338022453346
Camberwell,Thai,10,,,-37.89347986067952,145.03335671790646
Camberwell,Indian,10,,,-37.9708174108235,144.96034056670547
Camberwell,Middle Eastern,7,,,-37.781925522092514,144.98480232145766
Camberwell,Fast Food,12,,,-37.99166709949517,145.17891333584473
Camberwell,Café / Brunch,15,,,-37.92441143171774,144.86134056124644
Camberwell,European,7,,,-38.06861744746309,145.03449193280673
Moonee Ponds,Modern Australian,15,,,-38.08985970263382,145.00235547155378
Moonee Ponds,Chinese,22,,,-37.71494063412883,145.04458169417387
Moonee Ponds,Japanese,12,,,-37.76560795179512,144.80724407352832
Moonee Ponds,Korean,7,,,-37.82161031756252,145.14884956357767
Moonee Ponds,Italian,18,,,-37.93641882223429,145.17284731299344
Moonee Ponds,Vietnamese,12,,,-38.03068227197166,145.02605327343568
Moonee Ponds,Thai,10,,,-38.037425182931564,145.07866032955076
Moonee Ponds,Indian,10,,,-37.99990284073416,145.1689997524709
Moonee Ponds,Middle Eastern,7,,,-37.88030933411755,145.08289545372537
Moonee Ponds,Fast Food,12,,,-37.814161630919976,144.8610156171657
Moonee Ponds,Café / Brunch,15,,,-37.83592104931291,145.0305153440667
Moonee Ponds,European,7,,,-37.98802644122162,145.04268601855316
Essendon,Modern Australian,15,,,-37.71805388773472,144.96965226852095
Essendon,Chinese,22,,,-37.80484123332169,145.0945776942499
Essendon,Japanese,12,,,-37.87825837899544,145.1737468059076
Essendon,Korean,7,,,-37.85531170150626,145.1702274051627
Essendon,Italian,18,,,-37.93215997502888,144.98033574856166
Essendon,Vietnamese,12,,,-38.00090760419953,144.8452952183363
Essendon,Thai,10,,,-37.957610928539495,145.19393647958492
Essendon,Indian,10,,,-37.79686155581425,145.13555923457838
Essendon,Middle Eastern,7,,,-38.09424260454809,144.8498650724813
Essendon,Fast Food,12,,,-38.05357094379723,145.16833675304696
Essendon,Café / Brunch,15,,,-38.081598943191295,145.14795854482486
Essendon,European,7,,,-38.08370847907241,145.00753522285044
Brighton,Modern Australian,15,,,-37.757815766395595,145.03651017429797
Brighton,Chinese,22,,,-37.81853685624799,144.95960108154804
Brighton,Japanese,12,,,-37.91033046836507,144.8219046555288
Brighton,Korean,7,,,-38.0608663357396,144.93407889665835
Brighton,Italian,18,,,-37.90335364995327,145.1211413794392
Brighton,Vietnamese,12,,,-37.91061129168777,144.80185280920185
Brighton,Thai,10,,,-38.03071925203599,144.93339966867646
Brighton,Indian,10,,,-37.92645934030481,144.95926747743638
Brighton,Middle Eastern,7,,,-37.94059810624105,145.01495824117518
Brighton,Fast Food,12,,,-37.85365996077911,145.1679422465651
Brighton,Café / Brunch,15,,,-37.84596253965294,144.93853839774638
Brighton,European,7,,,-38.08187839609118,144.9387812807585
Malvern,Modern Australian,15,,,-37.95015495414941,145.0950004992439
Malvern,Chinese,22,,,-37.849656033714304,144.98088717635594
Malvern,Japanese,12,,,-37.89874549656796,144.889841929176
Malvern,Korean,7,,,-37.75740406352467,144.98097580645307
Malvern,Italian,18,,,-37.83652254735242,144.8563428081519
Malvern,Vietnamese,12,,,-38.03482622916743,144.8705547946025
Malvern,Thai,10,,,-38.071772501039824,144.9993471090958
Malvern,Indian,10,,,-37.843032288717474,144.9675701798018
Malvern,Middle Eastern,7,,,-38.08939547578335,145.16593836042725
Malvern,Fast Food,12,,,-37.865689767490615,144.94495755964667
Malvern,Café / Brunch,15,,,-37.72390790343002,145.0322353401112
Malvern,European,7,,,-37.869810328849645,145.0529057151678
Caulfield,Modern Australian,15,,,-37.94473202951739,144.80523778263534
Caulfield,Chinese,22,,,-37.842684712623054,145.06541494880668
Caulfield,Japanese,12,,,-37.916698843803395,144.8712143867479
Caulfield,Korean,7,,,-37.88175328427362,145.18442812698777
Caulfield,Italian,18,,,-37.72341407648939,144.85946509110124
Caulfield,Vietnamese,12,,,-37.945558944879686,144.96584964949082
Caulfield,Thai,10,,,-37.715523774470434,144.83413986723147
Caulfield,Indian,10,,,-37.73785974321757,145.19874970073838
Caulfield,Middle Eastern,7,,,-38.02168354608428,145.0008780041325
Caulfield,Fast Food,12,,,-38.07225547964993,145.038154006928
Caulfield,Café / Brunch,15,,,-38.05968879944903,144.82683059095538
Caulfield,European,7,,,-38.092711269739375,145.09998418815968
Ascot Vale,Modern Australian,15,,,-38.06222281569763,144.88396223723822
Ascot Vale,Chinese,22,,,-37.82679729063346,145.15922171577628
Ascot Vale,Japanese,12,,,-38.071524540615904,144.8820558561928
Ascot Vale,Korean,7,,,-37.972409747882494,144.87627508826546
Ascot Vale,Italian,18,,,-37.76204987561222,144.81461986713924
Ascot Vale,Vietnamese,12,,,-38.09069122570567,144.988826778044
Ascot Vale,Thai,10,,,-37.774212606964426,145.02593645330504
Ascot Vale,Indian,10,,,-37.98725809009064,144.82628345577135
Ascot Vale,Middle Eastern,7,,,-38.05273406895134,145.11021104667802
Ascot Vale,Fast Food,12,,,-37.82130513385434,144.98131553389922
Ascot Vale,Café / Brunch,15,,,-37.84842286128804,145.00975610773102
Ascot Vale,European,7,,,-37.74901119458918,144.9763050987753
Geelong,Modern Australian,12,,,-37.80597158247844,144.96030522435012
Geelong,Chinese,18,,,-37.77860762784606,145.0238561325233
Geelong,Japanese,9,,,-37.987186170971476,144.8620960983723
Geelong,Korean,6,,,-38.02902418248811,144.8727712521981
Geelong,Italian,14,,,-37.79975409934366,145.14471424840542
Geelong,Vietnamese,9,,,-37.77726610429309,145.17844618485344
Geelong,Thai,8,,,-37.70379794319973,144.9493237265119
Geelong,Indian,8,,,-37.93495292923543,144.9082978692574
Geelong,Middle Eastern,6,,,-37.95119276568288,145.0575998172956
Geelong,Fast Food,9,,,-37.7894348157032,144.96349366843924
Geelong,Café / Brunch,12,,,-37.96367858389879,144.81015454226414
